Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Josh Downs,CrossVal,WR/TE,94.0,94
Wan'Dale Robinson,CrossVal,WR/TE,79.0,76
Khalil Shakir,CrossVal,WR/TE,90.0,88
Zach Ertz,CrossVal,WR/TE,75.0,71
Cooper Kupp,CrossVal,WR/TE,67.0,65
Quentin Johnston,CrossVal,WR/TE,94.0,94
Sam LaPorta,CrossVal,WR/TE,97.0,97
Rashod Bateman,CrossVal,WR/TE,88.0,76
Pat Freiermuth,CrossVal,WR/TE,88.0,88
Michael Pittman Jr.,CrossVal,WR/TE,94.0,94
George Pickens,CrossVal,WR/TE,94.0,94
Tucker Kraft,CrossVal,WR/TE,100.0,100
Alec Pierce,CrossVal,WR/TE,94.0,94
Deebo Samuel Sr.,CrossVal,WR/TE,88.0,88
Jalen Tolbert,CrossVal,WR/TE,100.0,100
Jaylen Waddle,CrossVal,WR/TE,88.0,88
David Njoku,CrossVal,WR/TE,82.0,82
Demario Douglas,CrossVal,WR/TE,93.0,94
DeAndre Hopkins,CrossVal,WR/TE,82.0,82
Hunter Henry,CrossVal,WR/TE,94.0,94
Rome Odunze,CrossVal,WR/TE,100.0,100
Mike Gesicki,CrossVal,WR/TE,100.0,100
Ray-Ray McCloud,CrossVal,WR/TE,83.0,85
Cade Otton,CrossVal,WR/TE,94.0,94
Tank Dell,CrossVal,WR/TE,77.0,76
Adam Thielen,CrossVal,WR/TE,82.0,82
Chris Godwin,CrossVal,WR/TE,75.0,76
Nick Westbrook-Ikhine,CrossVal,WR/TE,93.0,94
Jalen McMillan,CrossVal,WR/TE,92.0,100
Romeo Doubs,CrossVal,WR/TE,85.0,82
Kyle Pitts,CrossVal,WR/TE,88.0,100
Tre Tucker,CrossVal,WR/TE,100.0,100
Marvin Mims Jr.,CrossVal,WR/TE,97.0,97
Xavier Legette,CrossVal,WR/TE,98.0,100
Michael Wilson,CrossVal,WR/TE,88.0,88
Isaiah Likely,CrossVal,WR/TE,94.0,94
Demarcus Robinson,CrossVal,WR/TE,100.0,100
Juwan Johnson,CrossVal,WR/TE,87.0,88
Amari Cooper,CrossVal,WR/TE,88.0,88
Stefon Diggs,CrossVal,WR/TE,80.0,82
Tyler Conklin,CrossVal,WR/TE,100.0,100
Kayshon Boutte,CrossVal,WR/TE,88.0,88
Tyler Lockett,CrossVal,WR/TE,98.0,100
Elijah Moore,CrossVal,WR/TE,100.0,100
Cole Kmet,CrossVal,WR/TE,100.0,100
Andrei Iosivas,CrossVal,WR/TE,97.0,97
Dalton Schultz,CrossVal,WR/TE,93.0,94
Chigoziem Okonkwo,CrossVal,WR/TE,100.0,100
Noah Gray,CrossVal,WR/TE,100.0,100
Calvin Austin III,CrossVal,WR/TE,100.0,100
Keon Coleman,CrossVal,WR/TE,76.0,90
Dontayvion Wicks,CrossVal,WR/TE,93.0,94
Darius Slayton,CrossVal,WR/TE,94.0,94
Joshua Palmer,CrossVal,WR/TE,94.0,94
Christian Watson,CrossVal,WR/TE,77.0,76
Jake Ferguson,CrossVal,WR/TE,94.0,94
Noah Fant,CrossVal,WR/TE,94.0,94
Dallas Goedert,CrossVal,WR/TE,73.0,71
Taysom Hill,CrossVal,WR/TE,76.0,76
Dalton Kincaid,CrossVal,WR/TE,88.0,88
Tutu Atwell,CrossVal,WR/TE,96.0,97
Ricky Pearsall,CrossVal,WR/TE,66.0,95
Jalen Coker,CrossVal,WR/TE,92.0,100
Tim Patrick,CrossVal,WR/TE,98.0,100
Brenton Strange,CrossVal,WR/TE,89.0,91
Evan Engram,CrossVal,WR/TE,82.0,82
Diontae Johnson,CrossVal,WR/TE,80.0,82
T.J. Hockenson,CrossVal,WR/TE,81.0,82
Noah Brown,CrossVal,WR/TE,71.0,71
Cedric Tillman,CrossVal,WR/TE,81.0,100
Rashid Shaheed,CrossVal,WR/TE,68.0,65
Tyler Boyd,CrossVal,WR/TE,94.0,94
Chris Olave,CrossVal,WR/TE,77.0,76
Ja'Tavion Sanders,CrossVal,WR/TE,98.0,100
Christian Kirk,CrossVal,WR/TE,72.0,71
Brandin Cooks,CrossVal,WR/TE,76.0,76
Theo Johnson,CrossVal,WR/TE,88.0,71
Colby Parkinson,CrossVal,WR/TE,100.0,100
Kendrick Bourne,CrossVal,WR/TE,71.0,71
Rashee Rice,CrossVal,WR/TE,68.0,59
Curtis Samuel,CrossVal,WR/TE,94.0,94
Brandon Aiyuk,CrossVal,WR/TE,74.0,76
Dawson Knox,CrossVal,WR/TE,82.0,82
Mike Williams,CrossVal,WR/TE,78.0,65
Kalif Raymond,CrossVal,WR/TE,86.0,88
Tommy Tremble,CrossVal,WR/TE,85.0,88
Gabe Davis,CrossVal,WR/TE,82.0,82
Adonai Mitchell,CrossVal,WR/TE,100.0,100
Nelson Agholor,CrossVal,WR/TE,94.0,94
Jahan Dotson,CrossVal,WR/TE,93.0,88
Tanner Hudson,CrossVal,WR/TE,83.0,100
Josh Reynolds,CrossVal,WR/TE,76.0,76
Michael Mayer,CrossVal,WR/TE,77.0,76
Trey Palmer,CrossVal,WR/TE,94.0,94
Ja'Lynn Polk,CrossVal,WR/TE,89.0,88
Kylen Granson,CrossVal,WR/TE,88.0,88
Tyler Higbee,CrossVal,WR/TE,66.0,71
Daniel Bellinger,CrossVal,WR/TE,93.0,88
K.J. Osborn,CrossVal,WR/TE,81.0,82
Marquise Brown,CrossVal,WR/TE,61.0,53
Ben Sinnott,CrossVal,WR/TE,100.0,100
DJ Chark,CrossVal,WR/TE,64.0,65
Gerald Everett,CrossVal,WR/TE,93.0,94
Luke Musgrave,CrossVal,WR/TE,65.0,53
Jaheim Bell,CrossVal,WR/TE,89.0,88
Tyler Warren,CrossVal,WR/TE,100.0,100
Colston Loveland,CrossVal,WR/TE,100.0,100
Travis Hunter,CrossVal,WR/TE,100.0,100
Tetairoa McMillan,CrossVal,WR/TE,100.0,100
Matthew Golden,CrossVal,WR/TE,100.0,100
Jack Bech,CrossVal,WR/TE,100.0,100
Emeka Egbuka,CrossVal,WR/TE,100.0,100
Luther Burden III,CrossVal,WR/TE,100.0,100
Jayden Higgins,CrossVal,WR/TE,100.0,100
Jaylin Noel,CrossVal,WR/TE,100.0,100
Rondale Moore,CrossVal,WR/TE,59.0,47
Lamar Jackson,CrossVal,QB,92.0,88
Josh Allen,CrossVal,QB,95.0,100
Joe Burrow,CrossVal,QB,95.0,82
