Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Quentin Johnston,FullModel,WR/TE,94.0,94
Sam LaPorta,FullModel,WR/TE,97.0,97
Rashod Bateman,FullModel,WR/TE,78.0,76
Pat Freiermuth,FullModel,WR/TE,88.0,88
Michael Pittman Jr.,FullModel,WR/TE,94.0,94
George Pickens,FullModel,WR/TE,94.0,94
Tucker Kraft,FullModel,WR/TE,100.0,100
Alec Pierce,FullModel,WR/TE,94.0,94
Deebo Samuel Sr.,FullModel,WR/TE,88.0,88
Jalen Tolbert,FullModel,WR/TE,100.0,100
Jaylen Waddle,FullModel,WR/TE,88.0,88
David Njoku,FullModel,WR/TE,82.0,82
Demario Douglas,FullModel,WR/TE,94.0,94
DeAndre Hopkins,FullModel,WR/TE,82.0,82
Hunter Henry,FullModel,WR/TE,94.0,94
Rome Odunze,FullModel,WR/TE,100.0,100
Mike Gesicki,FullModel,WR/TE,100.0,100
Ray-Ray McCloud,FullModel,WR/TE,84.0,85
Cade Otton,FullModel,WR/TE,94.0,94
Tank Dell,FullModel,WR/TE,77.0,76
Adam Thielen,FullModel,WR/TE,82.0,82
Chris Godwin,FullModel,WR/TE,76.0,76
Nick Westbrook-Ikhine,FullModel,WR/TE,94.0,94
Jalen McMillan,FullModel,WR/TE,95.0,100
Romeo Doubs,FullModel,WR/TE,83.0,82
Kyle Pitts,FullModel,WR/TE,91.0,100
Tre Tucker,FullModel,WR/TE,100.0,100
Marvin Mims Jr.,FullModel,WR/TE,97.0,97
Xavier Legette,FullModel,WR/TE,100.0,100
Michael Wilson,FullModel,WR/TE,88.0,88
Isaiah Likely,FullModel,WR/TE,94.0,94
Demarcus Robinson,FullModel,WR/TE,100.0,100
Juwan Johnson,FullModel,WR/TE,88.0,88
Amari Cooper,FullModel,WR/TE,88.0,88
Stefon Diggs,FullModel,WR/TE,82.0,82
Tyler Conklin,FullModel,WR/TE,100.0,100
Kayshon Boutte,FullModel,WR/TE,88.0,88
Tyler Lockett,FullModel,WR/TE,100.0,100
Elijah Moore,FullModel,WR/TE,100.0,100
Cole Kmet,FullModel,WR/TE,100.0,100
Andrei Iosivas,FullModel,WR/TE,97.0,97
Dalton Schultz,FullModel,WR/TE,94.0,94
Chigoziem Okonkwo,FullModel,WR/TE,100.0,100
Noah Gray,FullModel,WR/TE,100.0,100
Calvin Austin III,FullModel,WR/TE,100.0,100
Keon Coleman,FullModel,WR/TE,88.0,90
Dontayvion Wicks,FullModel,WR/TE,94.0,94
Darius Slayton,FullModel,WR/TE,94.0,94
Joshua Palmer,FullModel,WR/TE,94.0,94
Christian Watson,FullModel,WR/TE,76.0,76
Jake Ferguson,FullModel,WR/TE,94.0,94
Noah Fant,FullModel,WR/TE,94.0,94
Dallas Goedert,FullModel,WR/TE,73.0,71
Taysom Hill,FullModel,WR/TE,76.0,76
Dalton Kincaid,FullModel,WR/TE,88.0,88
Tutu Atwell,FullModel,WR/TE,97.0,97
Ricky Pearsall,FullModel,WR/TE,87.0,95
Jalen Coker,FullModel,WR/TE,99.0,100
Tim Patrick,FullModel,WR/TE,100.0,100
Brenton Strange,FullModel,WR/TE,90.0,91
Evan Engram,FullModel,WR/TE,82.0,82
Diontae Johnson,FullModel,WR/TE,81.0,82
T.J. Hockenson,FullModel,WR/TE,81.0,82
Noah Brown,FullModel,WR/TE,72.0,71
Cedric Tillman,FullModel,WR/TE,94.0,100
Rashid Shaheed,FullModel,WR/TE,68.0,65
Tyler Boyd,FullModel,WR/TE,94.0,94
Chris Olave,FullModel,WR/TE,76.0,76
Ja'Tavion Sanders,FullModel,WR/TE,100.0,100
Christian Kirk,FullModel,WR/TE,71.0,71
Brandin Cooks,FullModel,WR/TE,76.0,76
Theo Johnson,FullModel,WR/TE,78.0,71
Colby Parkinson,FullModel,WR/TE,100.0,100
Kendrick Bourne,FullModel,WR/TE,71.0,71
Rashee Rice,FullModel,WR/TE,59.0,59
Curtis Samuel,FullModel,WR/TE,94.0,94
Brandon Aiyuk,FullModel,WR/TE,75.0,76
Dawson Knox,FullModel,WR/TE,82.0,82
Mike Williams,FullModel,WR/TE,70.0,65
Kalif Raymond,FullModel,WR/TE,87.0,88
Tommy Tremble,FullModel,WR/TE,87.0,88
Gabe Davis,FullModel,WR/TE,82.0,82
Adonai Mitchell,FullModel,WR/TE,100.0,100
Nelson Agholor,FullModel,WR/TE,94.0,94
Jahan Dotson,FullModel,WR/TE,91.0,88
Tanner Hudson,FullModel,WR/TE,95.0,100
Josh Reynolds,FullModel,WR/TE,76.0,76
Michael Mayer,FullModel,WR/TE,77.0,76
Trey Palmer,FullModel,WR/TE,94.0,94
Ja'Lynn Polk,FullModel,WR/TE,88.0,88
Kylen Granson,FullModel,WR/TE,88.0,88
Tyler Higbee,FullModel,WR/TE,69.0,71
Daniel Bellinger,FullModel,WR/TE,91.0,88
K.J. Osborn,FullModel,WR/TE,82.0,82
