ID,Player,Tm,FantPos,2023Age,2023G,2023HealthStatus,2023HealthStatus2,2023SeriousInjury,2024Age,2024G,2024HealthStatus,2024HealthStatus2,2024SeriousInjury,AvgSeasonGames,HealthGrade,2025Age,2025G,ModelProj.2025Games,PlayMoreThan14(AvgSeason),PredictedPlayMoreThan14,AdjustedRisk,RiskTier,Scale
162,Elijah Moore,,WR/TE,23,17,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,15,17,1,1,0,Low,
134,Cole Kmet,,WR/TE,24,17,0,Healthy,0,25,17,0,Healthy,0,17.0,100,26,17,17,1,1,0,Low,
131,Justin Fields,,QB,24,13,2,Moderate Injuries,0,25,10,0,Healthy/Backup,0,11.5,100,26,17,15,0,0,4,High,
256,Andrei Iosivas,,WR/TE,24,16,0,Healthy,0,25,17,0,Healthy,0,16.5,97,26,17,17,1,1,0,Low,
136,Dalton Schultz,,WR/TE,27,15,1,Minor Injuries,0,28,17,0,Healthy,0,16.0,94,29,17,17,1,1,2,Minor,
193,Ray Davis,,RB,23,NaN,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,16,17,1,0,0,Low,
268,Jordan Mason,,RB,23,16,0,Healthy,0,24,15,1,Minor Injuries,0,15.5,91,25,17,17,1,1,2,Minor,
125,Tyjae Spears,,RB,22,17,0,Healthy,0,23,12,2,Moderate Injuries,0,15.0,88,24,17,16,1,0,3,Moderate,
161,Chigoziem Okonkwo,,WR/TE,24,17,0,Healthy,0,25,17,0,Healthy,0,17.0,100,26,17,17,1,1,0,Low,
225,Noah Gray,,WR/TE,24,17,0,Healthy,0,25,17,0,Healthy,0,17.0,100,26,17,17,1,1,0,Low,
243,Calvin Austin III,,WR/TE,24,17,0,Healthy,0,25,17,0,Healthy,0,17.0,100,26,17,17,1,1,0,Low,
126,Keon Coleman,,WR/TE,20,NaN,0,Healthy,0,21,13,2,Moderate Injuries,0,13.0,90,22,16,17,0,0,3,Moderate,
150,Dontayvion Wicks,,WR/TE,22,15,1,Minor Injuries,0,23,17,0,Healthy,0,16.0,94,24,17,17,1,0,2,Minor,
145,Darius Slayton,,WR/TE,26,17,0,Healthy,0,27,16,0,Healthy,0,16.0,94,28,17,17,1,1,0,Low,
135,Joshua Palmer,,WR/TE,23,17,0,Healthy,0,24,15,1,Minor Injuries,0,16.0,94,25,16,16,1,1,2,Minor,
147,Tyler Allgeier,,RB,23,17,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,17,1,1,0,Low,
141,Christian Watson,,WR/TE,24,9,3,Major Injuries,1,25,15,1,Minor Injuries,0,13.0,76,26,17,9,0,0,7,Significant,
105,Jake Ferguson,,WR/TE,24,17,0,Healthy,0,25,14,1,Minor Injuries,0,16.0,94,26,17,17,1,1,2,Minor,
189,Noah Fant,,WR/TE,26,17,0,Healthy,0,27,14,1,Minor Injuries,0,16.0,94,28,17,17,1,1,2,Minor,
138,Dallas Goedert,,WR/TE,28,14,1,Minor Injuries,0,29,10,2,Moderate Injuries,0,12.0,71,30,17,17,0,0,6,Significant,
148,Antonio Gibson,,RB,25,16,0,Healthy,0,26,17,0,Healthy,0,16.0,94,27,17,17,1,1,0,Low,
151,Taysom Hill,,WR/TE,33,16,0,Healthy,0,34,8,3,Major Injuries,1,13.0,76,35,17,17,0,0,6,Significant,
113,Dalton Kincaid,,WR/TE,24,16,0,Healthy,0,25,13,2,Moderate Injuries,0,15.0,88,26,16,17,1,1,3,Moderate,
199,Tutu Atwell,,WR/TE,24,16,0,Healthy,0,25,17,0,Healthy,0,16.5,97,26,17,17,1,1,0,Low,
183,Aidan O'Connell,,QB,25,11,0,Healthy/Backup,0,26,9,0,Healthy/Backup,0,10.0,100,27,17,17,0,0,2,Minor,
172,Jaleel McLaughlin,,RB,23,17,0,Healthy,0,24,16,0,Healthy,0,17.0,100,25,17,17,1,1,0,Low,
115,Devin Singletary,,RB,26,17,0,Healthy,0,27,16,0,Healthy,0,16.0,94,28,17,17,1,1,0,Low,
267,Isaac Guerendo,,RB,23,NaN,0,Healthy,0,24,10,0,Healthy/Backup,0,10.0,100,25,17,14,0,0,1,Low,
179,Ricky Pearsall,,WR/TE,22,NaN,0,Healthy,0,23,11,2,Moderate Injuries,0,11.0,95,24,17,17,0,0,3,Moderate,
248,Jalen Coker,,WR/TE,22,NaN,0,Healthy,0,23,11,0,Healthy,0,11.0,100,24,17,17,0,0,0,Low,
159,Tim Patrick,,WR/TE,23,NaN,0,Healthy,0,24,16,0,Healthy,0,16.0,100,25,15,17,1,1,0,Low,
271,Ty Johnson,,RB,26,9,0,Healthy/Backup,0,27,17,0,Healthy,0,13.0,100,28,15,17,0,1,1,Low,
278,Brenton Strange,,WR/TE,22,14,1,Minor Injuries,0,23,17,0,Healthy,0,15.5,91,24,17,17,1,1,2,Minor,
73,Evan Engram,,WR/TE,29,17,0,Healthy,0,30,9,2,Moderate Injuries,0,14.0,82,31,17,16,0,0,4,High,
110,Diontae Johnson,,WR/TE,27,13,2,Moderate Injuries,0,28,12,2,Moderate Injuries,0,14.0,82,29,17,16,0,0,6,Significant,
104,T.J. Hockenson,,WR/TE,26,15,1,Minor Injuries,0,27,10,2,Moderate Injuries,0,14.0,82,28,17,16,0,0,5,High,
214,Noah Brown,,WR/TE,27,10,2,Moderate Injuries,0,28,11,2,Moderate Injuries,0,12.0,71,29,17,17,0,0,7,Significant,
207,Braelon Allen,,RB,19,NaN,0,Healthy,0,20,17,0,Healthy,0,17.0,100,21,17,17,1,1,0,Low,
234,Drew Lock,,QB,27,4,0,Healthy/Backup,0,28,7,0,Healthy/Backup,0,5.5,100,29,10,16,0,0,2,Minor,
118,Zack Moss,,RB,26,14,1,Minor Injuries,0,27,8,3,Major Injuries,1,12.0,71,28,17,16,0,0,7,Significant,
190,Samaje Perine,,RB,28,17,0,Healthy,0,29,17,0,Healthy,0,17.0,100,30,17,15,1,1,0,Low,
251,Cedric Tillman,,WR/TE,23,14,1,Minor Injuries,0,24,11,0,Healthy,0,12.5,100,25,17,17,0,0,2,Minor,
132,Rashid Shaheed,,WR/TE,25,15,1,Minor Injuries,0,25,6,3,Major Injuries,1,11.0,65,26,17,16,0,0,7,Significant,
